Node Number	Total Deformation (m)
951	0.20936
952	0.20931
953	0.21894
954	0.21922
955	0.2193
956	0.21781
957	0.21913
958	0.21934
959	0.21943
960	0.21857
961	0.21954
962	0.2187
963	0.21861
964	0.21856
965	0.21823
966	0.21864
967	0.21847
968	0.21815
969	0.21826
970	0.2186
971	0.21835
972	0.21824
973	0.21832
974	0.21817
975	0.21789
976	0.21766
977	0.21796
978	0.21788
979	0.21758
980	0.21746
981	0.21761
982	0.21812
983	0.218
984	0.21764
985	0.20872
986	0.20876
987	0.20866
988	0.20864
989	0.20859
990	0.20857
991	0.20853
992	0.20853
993	0.2085
994	0.20849
995	0.20846
996	0.20848
997	0.20849
998	0.20851
999	0.20849
1000	0.20852
1001	0.20851
1002	0.20853
1003	0.20859
1004	0.20866
1005	0.20869
1006	0.20873
1007	0.2088
1008	0.20884
1009	0.20892
1010	0.20896
1011	0.20903
1012	0.20909
1013	0.20915
1014	0.20921
1015	0.20928
1016	0.20933
1017	0.20939
1018	0.20943
1019	0.20946
1020	0.20953
1021	0.20958
1022	0.20964
1023	0.20966
1024	0.20972
1025	0.20973
1026	0.20977
1027	0.20978
1028	0.2098
1029	0.20981
1030	0.20981
1031	0.2098
1032	0.2098
1033	0.20978
1034	0.20976
1035	0.20972
1036	0.20966
1037	0.20964
1038	0.20962
1039	0.20958
1040	0.20952
1041	0.20949
1042	0.20942
1043	0.20938
1044	0.20931
1045	0.20925
1046	0.20919
1047	0.20913
1048	0.20907
1049	0.20901
1050	0.20895
1051	0.2089
1052	0.20884
1053	0.20535
1054	0.20545
1055	0.2055
1056	0.20563
1057	0.20485
1058	0.20628
1059	0.20579
1060	0.20589
1061	0.20588
1062	0.2058
1063	0.206
1064	0.20618
1065	0.20617
1066	0.20617
1067	0.20619
1068	0.20609
1069	0.20602
1070	0.20592
1071	0.20595
1072	0.20595
1073	0.20574
1074	0.20556
1075	0.2054
1076	0.20517
1077	0.20497
1078	0.20484
1079	0.20497
1080	0.20493
1081	0.20475
1082	0.20469
1083	0.20463
1084	0.20589
1085	0.20813
1086	0.20794
1087	0.20802
1088	0.20785
1089	0.20803
1090	0.20777
1091	0.20797
1092	0.20772
1093	0.2079
1094	0.20773
1095	0.20791
1096	0.20784
1097	0.20795
1098	0.20771
1099	0.20787
1100	0.20773
1101	0.20798
1102	0.20781
1103	0.20776
1104	0.20796
1105	0.20786
1106	0.20804
1107	0.20795
1108	0.20823
1109	0.20806
1110	0.20831
1111	0.20806
1112	0.20842
1113	0.2082
1114	0.20856
1115	0.20835
1116	0.20872
1117	0.20848
1118	0.20884
1119	0.2086
1120	0.20866
1121	0.20904
1122	0.20889
1123	0.20914
1124	0.20898
1125	0.20922
1126	0.20904
1127	0.20924
1128	0.20897
1129	0.20925
1130	0.209
1131	0.20926
1132	0.20899
1133	0.20924
1134	0.20895
1135	0.20919
1136	0.20887
1137	0.20882
1138	0.20912
1139	0.20888
1140	0.20904
1141	0.20878
1142	0.20893
1143	0.20866
1144	0.20878
1145	0.20839
1146	0.20862
1147	0.20827
1148	0.20849
1149	0.20815
1150	0.20838
1151	0.20802
1152	0.2083
1153	0.20575
1154	0.20615
1155	0.2063
1156	0.20633
1157	0.20643
1158	0.20579
1159	0.20656
1160	0.20678
1161	0.2071
1162	0.20746
1163	0.20744
1164	0.20751
1165	0.20751
1166	0.20751
1167	0.2075
1168	0.2075
1169	0.20752
1170	0.20754
1171	0.20732
1172	0.20719
1173	0.20699
1174	0.20681
1175	0.20664
1176	0.20651
1177	0.20652
1178	0.20646
1179	0.20625
1180	0.20616
1181	0.2061
